analysis_id,8ze25q1g87n915w
mouse_life_stage,Early adult
mouse_strain,C54BL
gene_symbol,Amigo1
parameter_name,Eye
parameter_id,M-G-P_014_001_001
pvalue,0.2037032
gene_accession_id,MGI:2653612
