analysis_id,l1xoe965q73u88c
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
gene_symbol,Casq1
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.8649105
