analysis_id,kyab84yc0564267
pvalue,0.1770658
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:1914071
parameter_id,IMPC_CSD_051_002
