parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
pvalue,0.6760312
analysis_id,453lxu4nu1y3juj
mouse_strain,C57BL
