parameter_name,Bone Area
mouse_life_stage,Early adult
pvalue,0.6644184
gene_symbol,Lime1
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
analysis_id,317z5g1835wwr1e
gene_accession_id,MGI:1919949
