parameter_name,Mean platelet volume
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
analysis_id,s2t45yy78e67snu
pvalue,0.8778183
gene_symbol,Rufy4
