parameter_name,Pale yolk sac
analysis_id,v4w01any0r9g1pv
gene_symbol,Sfpq
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1918764
pvalue,0.7459914
