analysis_id,04vv1wuzbu2ap1b
parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2359638
gene_accession_id,MGI:103302
gene_symbol,Bmp7
