gene_symbol,Kifap3
gene_accession_id,MGI:107566
parameter_name,Whole arena resting time
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
pvalue,0.3424517
mouse_life_stage,Early adult
analysis_id,nk381875m628914
