analysis_id,732zgz2n3m784j8
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,MGP_IMM_001_001
gene_symbol,AU040320
parameter_name,Total T cells - % of CD45+
pvalue,0.6431182
mouse_life_stage,Early adult
