gene_symbol,Sdcbp2
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
gene_accession_id,MGI:2385156
pvalue,0.3045484
analysis_id,4j57f2xm32vr3t2
parameter_id,M-G-P_016_001_006
