parameter_name,Activity (body position)
mouse_strain,C57BL
gene_symbol,Ola1
analysis_id,65od0h7li97auz2
gene_accession_id,MGI:1914309
parameter_id,IMPC_CSD_029_001
pvalue,0.07072704
mouse_life_stage,Early adult
