analysis_id,g5351h56cv7a230
gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,MGP_PBI_030_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_life_stage,E12.5
pvalue,0.7198833
