analysis_id,b4c9n8c94q99449
mouse_life_stage,Early adult
parameter_name,Tibia
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
pvalue,0.6972304
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
