gene_symbol,Rap2b
pvalue,0.09011955
mouse_life_stage,Early adult
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
mouse_strain,C57BL
analysis_id,84h154zs5i05172
gene_accession_id,MGI:1921262
