gene_symbol,Lime1
mouse_life_stage,Early adult
pvalue,0.174253
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1919949
mouse_strain,C57BL
analysis_id,q7175k1993panej
