gene_symbol,Nr0b2
parameter_name,QT
mouse_life_stage,Early adult
analysis_id,342913y0o9956uy
parameter_id,IMPC_ECG_028_001
pvalue,0.50848
mouse_strain,B6J
gene_accession_id,MGI:1346344
