parameter_name,Time mobile dark side
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
gene_symbol,Ints7
pvalue,0.07423609
gene_accession_id,MGI:1924315
mouse_strain,C57BL
analysis_id,bzmcf1e7uztdwr0
