analysis_id,s53o846ia4uepuu
pvalue,0.9370245
gene_symbol,Tnni1
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_name,Bone Mineral Density (excluding skull)
