parameter_name,Vibrissae - appearance
gene_symbol,Slc39a10
pvalue,0.2234469
analysis_id,b781199072u3x3n
mouse_strain,C57BL
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
parameter_id,HMGULA_DYS_024_001
