analysis_id,q01aq224l6ln3n6
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
pvalue,0.3608526
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
