analysis_id,2c1zz8857696m31
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:99605
mouse_strain,C57BL
gene_symbol,Cntfr
parameter_name,Eosinophil number
mouse_life_stage,Early adult
pvalue,0.2586802
