parameter_name,cDCs CD11b Type
pvalue,0.7268034
mouse_strain,C57BL
gene_accession_id,MGI:1913396
analysis_id,2o9rfr933s5at16
gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
