gene_symbol,Arnt
gene_accession_id,MGI:88071
parameter_id,MGP_MLN_058_001
analysis_id,o5w53402178x55l
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
mouse_strain,C57BL
pvalue,0.3393968
