analysis_id,85fgh00358r8t2o
mouse_strain,C57BL
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_id,IMPC_EYE_062_001
pvalue,0.2240687
parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
