analysis_id,1421p8u0ebr7m8y
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
gene_symbol,Gja10
gene_accession_id,MGI:1339969
pvalue,0.8677372
mouse_life_stage,Early adult
mouse_strain,C57BL
