parameter_id,JAX_ROT_002_001
parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7133555
analysis_id,b4291c14245qz1i
gene_accession_id,MGI:1917810
gene_symbol,Wars2
