parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
pvalue,0.7368263
gene_symbol,Bcs1l
analysis_id,2a1614lrhc7k536
