gene_symbol,Secisbp2l
parameter_name,PP1 + pulse startle magnitude
analysis_id,wu63i930br77po7
pvalue,0.6951618
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_id,ESLIM_011_001_007
mouse_strain,C57BL
