gene_symbol,Fgb
parameter_name,Sacral processes
pvalue,0.7901094
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:99501
mouse_strain,C57BL
analysis_id,7t46s60as6l2h39
mouse_life_stage,E12.5
