parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:106100
gene_symbol,Etfdh
pvalue,0.7773871
mouse_strain,C57BL
parameter_name,Heart weight
analysis_id,41i04fj4x457342
mouse_life_stage,Early adult
