parameter_name,Cholesterol ratio
pvalue,0.1249773
gene_accession_id,MGI:1923959
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
analysis_id,b3h44z1jvjvjege
mouse_life_stage,Early adult
gene_symbol,Arpc2
