gene_symbol,Zcchc2
analysis_id,34vqza25cp3j249
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
gene_accession_id,MGI:2444114
pvalue,0.8956972
mouse_life_stage,Early adult
parameter_name,Weight
