gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3669143
analysis_id,wu5cr726x1481d2
