analysis_id,44986p8o764ag94
pvalue,0.2794467
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
