analysis_id,b706rwv7fw82kc3
pvalue,0.5485745
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,Whole arena average speed
gene_symbol,Bcs1l
parameter_id,JAX_OFD_009_001
mouse_life_stage,E12.5
