analysis_id,r44318aj768viw5
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.3420855
