parameter_id,HRWLLA_GRS_010_001
gene_symbol,Frmpd1
analysis_id,3ps47381xm2zgxm
gene_accession_id,MGI:2446274
pvalue,0.5753925
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
