parameter_name,Albumin
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sgip1
pvalue,0.2942695
parameter_id,IMPC_CBC_007_001
gene_accession_id,MGI:1920344
analysis_id,x1ywq65297j1dk2
