parameter_name,Upper teeth appearance
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
mouse_life_stage,Early adult
pvalue,0.8095774
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
analysis_id,81j155gsuhqc792
