gene_symbol,Sprr1b
pvalue,0.447331
mouse_life_stage,Early adult
analysis_id,ywt74l72sr607u6
gene_accession_id,MGI:106659
mouse_strain,C57BL
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
