gene_symbol,Sprr1b
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
pvalue,0.4178267
gene_accession_id,MGI:106659
analysis_id,er3r0h147gyphey
parameter_name,Periphery permanence time
mouse_strain,C57BL
