analysis_id,1yvcf726p84t041
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.5027575
gene_symbol,Mapkap1
mouse_life_stage,E15.5
