analysis_id,sym0348k0s92tl3
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_name,Center resting time
pvalue,0.7133703
parameter_id,JAX_OFD_015_001
