analysis_id,2607e5ef810m737
parameter_id,MGP_IMM_006_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
pvalue,0.4556372
