gene_symbol,Secisbp2l
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.7123558
mouse_life_stage,Early adult
analysis_id,2pm78bosza81n30
