analysis_id,ol1n8a82jwr4har
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
pvalue,0.3026897
