parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
parameter_name,Eye
mouse_life_stage,Early adult
pvalue,0.8617546
analysis_id,7989i0et4g6ahb6
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
