parameter_name,Glucose
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
pvalue,0.5402303
gene_symbol,Pum1
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
analysis_id,8kegkww3bcxnqry
