analysis_id,137mw40ej8u027f
pvalue,0.9224263
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_name,Effector gd T cells - % of gd T cells
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:1923959
