gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
analysis_id,0kr337z10l8au4h
mouse_life_stage,Early adult
pvalue,0.2481985
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
parameter_name,Weight
