analysis_id,519n5x8wu6qf6z7
parameter_id,ICS_FEA_019_001
pvalue,0.3410384
gene_symbol,Arpc5l
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
mouse_strain,C57BL
