parameter_name,Glucose
mouse_strain,C3H
mouse_life_stage,Early adult
gene_symbol,Mecom
pvalue,0.8792462
parameter_id,HMGULA_CBC_018_001
analysis_id,d9q1481hp50eq76
gene_accession_id,MGI:95457
