analysis_id,e3uju35631yhghx
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_life_stage,Early adult
pvalue,0.8877586
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
