gene_symbol,Extl1
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
mouse_strain,C57BL
parameter_name,Transitional 1 B cells - % of CD45+
analysis_id,315iyd2c24d1fg7
pvalue,0.9645783
