parameter_name,Fusion of vertebrae
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,v65ow14o9r79n56
pvalue,0.4707034
parameter_id,M-G-P_006_001_026
