parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,gdrb73527bc93f1
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.7737534
parameter_name,Fusion of vertebrae
