analysis_id,d0qfx90vf033wk2
parameter_id,IMPC_GEL_032_001
gene_symbol,Tiprl
pvalue,0.9641539
parameter_name,Embryo Size
mouse_strain,C57BL
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
