analysis_id,za9ho8k8lon6492
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.6716257
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_074_001
mouse_life_stage,E9.5
mouse_strain,C57BL
