gene_symbol,Atf3
parameter_name,Fusion of vertebrae
pvalue,0.8755121
mouse_strain,C57BL
gene_accession_id,MGI:109384
analysis_id,g134fbn4ekr3x36
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
