gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_life_stage,Early adult
analysis_id,57pc5644y14kjd8
parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
mouse_strain,C57BL
pvalue,0.6335171
