gene_symbol,Trdmt1
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
analysis_id,mz5a8r4mg6iac1f
parameter_name,Neural tube morphology
mouse_strain,C57BL
gene_accession_id,MGI:1274787
pvalue,0.7186776
