gene_symbol,Car13
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
parameter_name,Anophthalmia
pvalue,0.9447127
analysis_id,47160bz0g4fpxqh
