analysis_id,i6s7eo8do0bo096
gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_702
pvalue,0.6874876
parameter_name,Prepulse inhibition - PP2
gene_accession_id,MGI:105073
